entry_ts,exit_ts,direction,gross_return,net_return,hold_bars,regime,confidence,conviction
1701791280000,1701792000000,SHORT,-0.0012492651381540605,-0.0034492651381540606,12,BEAR,0.9999999999979694,0.9999999999471098
1701791340000,1701792060000,SHORT,0.0020431515440584315,-0.00015684845594156858,12,BEAR,0.9999999999942276,0.9999999998563373
1701791460000,1701792180000,SHORT,0.0018480044994892161,-0.000351995500510784,12,BEAR,0.9999999999951227,0.9999999998776613
1701791580000,1701792300000,SHORT,0.0031002348106838194,0.0009002348106838193,12,BEAR,0.9999999980220018,0.999999962108495
1701793440000,1701794160000,SHORT,-0.00029546021937352027,-0.0024954602193735203,12,BEAR,0.9999999974067819,0.9999999509645013
1701794160000,1701794880000,SHORT,-0.008792497069167644,-0.010992497069167644,12,BEAR,0.9999999974739749,0.9999999521744971
1701794760000,1701795480000,SHORT,-0.004019944759942788,-0.006219944759942787,12,BEAR,0.9999981462901462,0.9999760428835163
1701794820000,1701795540000,SHORT,-0.0013716048231358323,-0.0035716048231358324,12,BEAR,0.9871963771377624,0.9376305538353367
1701794880000,1701795600000,SHORT,-0.0002882590063917319,-0.0024882590063917322,12,BEAR,0.9999987836731511,0.999983813836843
1701794940000,1701795660000,SHORT,-0.0014522218995062445,-0.0036522218995062444,12,BEAR,0.9999999994243118,0.9999999883205876
1701795000000,1701795720000,SHORT,-0.004689307787251423,-0.006889307787251423,12,BEAR,0.9999989880700443,0.9999863643682494
1701795060000,1701795780000,SHORT,-0.005579545454545454,-0.007779545454545454,12,BEAR,0.9999999417341959,0.9999990634692026
1701795120000,1701795840000,SHORT,-0.0072226811302335756,-0.009422681130233576,12,BEAR,0.9999845188033543,0.9998298316515111
1701795240000,1701795960000,SHORT,-0.005456022907557272,-0.0076560229075572726,12,BEAR,0.999999994968702,0.9999999079048693
1701795660000,1701796380000,SHORT,-0.006654672998839841,-0.008854672998839842,12,BEAR,0.9999999999905147,0.9999999997692964
1701795720000,1701796440000,SHORT,-0.007058823529411765,-0.009258823529411766,12,BEAR,0.9999576539656484,0.9995733214492176
1701795780000,1701796500000,SHORT,-0.008764733136703234,-0.010964733136703235,12,BEAR,0.9999993164274313,0.9999905448561022
1701795840000,1701796560000,SHORT,-0.005785962320078227,-0.007985962320078227,12,BEAR,0.9999999999550666,0.9999999989802347
1701795900000,1701796620000,SHORT,-0.004724138399590677,-0.006924138399590676,12,BEAR,0.99998822782205,0.9998676660921806
1701795960000,1701796680000,SHORT,-0.0034772529701535453,-0.005677252970153545,12,BEAR,0.9999999997656965,0.9999999950515991
1701796020000,1701796740000,SHORT,-0.0013049043597826461,-0.003504904359782646,12,BEAR,0.9999999988739052,0.9999999778476677
1701796140000,1701796860000,SHORT,-0.005793742757821553,-0.007993742757821554,12,BEAR,0.9999999974602974,0.9999999519280659
1701796260000,1701796980000,SHORT,-0.003434835236305792,-0.005634835236305792,12,BEAR,0.9996755654944752,0.9973323593795468
1701796320000,1701797040000,SHORT,-0.004866174559630313,-0.007066174559630312,12,BEAR,0.999999994277552,0.9999998959252762
1701796380000,1701797100000,SHORT,-0.004701979152833487,-0.006901979152833488,12,BEAR,0.6642160942904334,0.4190859807710018
1701798060000,1701798780000,SHORT,-0.0005452489597812178,-0.002745248959781218,12,BEAR,0.9999999999726056,0.9999999993646713
1701798120000,1701798840000,SHORT,-0.0019207119379290624,-0.0041207119379290625,12,BEAR,0.9999999981290509,0.9999999640640448
1701798240000,1701798960000,SHORT,-0.002015858083590915,-0.004215858083590915,12,BEAR,0.9999999999861247,0.9999999996682991
1701798300000,1701799020000,SHORT,0.0005148662019439557,-0.0016851337980560445,12,BEAR,0.9999999999979472,0.9999999999465474
1701798360000,1701799080000,SHORT,-0.0008613437857961054,-0.0030613437857961055,12,BEAR,0.9999999999979603,0.9999999999468793
1701798420000,1701799200000,SHORT,0.0011030380436481857,-0.0010969619563518144,12,BEAR,0.9995752501721793,0.9966117058172163
1701798480000,1701799260000,SHORT,0.002400925528873642,0.00020092552887364173,12,BEAR,0.9999999999979553,0.9999999999467537
1701798540000,1701799320000,SHORT,-0.0004005693007268756,-0.0026005693007268758,12,BEAR,0.9999995502538002,0.9999936077419797
1701798600000,1701799380000,SHORT,-0.0023042350096215965,-0.004504235009621597,12,BEAR,0.9999999997286962,0.9999999943071922
1701798660000,1701799440000,SHORT,0.0005510244146201521,-0.001648975585379848,12,BEAR,0.9936038004635389,0.9647831827250725
1701798720000,1701799500000,SHORT,0.003993105045610099,0.0017931050456100992,12,BEAR,0.9989762082471239,0.9926531880887121
1701798780000,1701799560000,SHORT,0.0002523752305993942,-0.001947624769400606,12,BEAR,0.8419873421952306,0.6028083114065415
1701798840000,1701799620000,SHORT,0.0001986212560451485,-0.0020013787439548516,12,BEAR,0.9999999999843228,0.9999999996272814
1701799080000,1701799860000,SHORT,-0.003138405001777121,-0.005338405001777121,12,BEAR,0.999999990573649,0.9999998328497547
1701799800000,1701800520000,SHORT,-0.002263624117967154,-0.0044636241179671545,12,BEAR,0.9999999994012425,0.9999999878742226
1701799860000,1701800580000,SHORT,-0.0019676222521810504,-0.0041676222521810505,12,BEAR,0.9999999999368554,0.9999999985879443
