i,timestamp_ms,close,log_return,regime_label,signal_valid,confidence,conviction,position_size,signed_position_size,execution_side,engine_status,expected_volatility,edge_score,prob_bull,prob_bear,prob_crisis
44,1701392880000,38803.0,0.00019072509097924846,BEAR,True,0.9999999832142895,0.999999711175054,0.0,0.0,flat,OK,0.010906062953810337,0.10103809554328141,1.002255739312374e-12,0.9999999832142895,1.6784708194463492e-08
45,1701392940000,38803.0,0.0,BEAR,True,0.9999999999979933,0.9999999999477078,0.0,0.0,flat,OK,0.010889933517458148,0.10083047643462517,1.0016908510392454e-12,0.9999999999979933,1.0050725531158532e-12
46,1701393000000,38803.0,0.0,BEAR,True,0.9999999999979949,0.9999999999477504,0.0,0.0,flat,OK,0.010875534095089637,0.10066438114770015,1.001267602447705e-12,0.9999999999979949,1.0038028073411841e-12
47,1701393060000,38803.0,0.0,BEAR,True,0.9999999999979963,0.9999999999477823,0.0,0.0,flat,OK,0.010862674807997977,0.10053150491816015,1.0009504006532303e-12,0.9999999999979963,1.0028512019577222e-12
48,1701393120000,38796.7,-0.0001623717621032752,BEAR,True,0.9999999428531677,0.9999990804461123,0.0,0.0,flat,OK,0.01085125047910923,0.10042520393452814,1.0012192728235826e-12,0.9999999428531677,5.7145831097176824e-08
49,1701393180000,38796.5,-5.155090910012273e-06,BEAR,True,0.9999999997781486,0.9999999953033529,0.0,0.0,flat,OK,0.010840978686545088,0.10034016314762256,1.0009142075623639e-12,0.9999999997781486,2.208505046690019e-10
50,1701393300000,38803.7,0.00018556653257749983,BEAR,True,0.9999999999979945,0.9999999999477377,0.0,0.0,flat,OK,0.01083188020476913,0.10027213051809808,1.0013936886591157e-12,0.9999999999979945,1.004181065975786e-12
51,1701393360000,38811.9,0.0002112977295934203,BEAR,True,0.9999999999979937,0.9999999999477183,0.0,0.0,flat,OK,0.01082376941906724,0.10021770441447847,1.0015872483367185e-12,0.9999999999979937,1.004761745008616e-12
52,1701393420000,38814.2,5.925841954357439e-05,BEAR,True,0.9999999850667061,0.9999997414583942,0.0,0.0,flat,OK,0.010816416995984955,0.10017416353158282,1.0011904346694456e-12,0.9999999850667061,1.4932292788408945e-08
53,1701393480000,38860.8,0.0011998714024025812,BEAR,True,0.9999999999979637,0.9999999999469648,0.0,0.0,flat,OK,0.010813284626017224,0.28013933082526626,1.0090807535416348e-12,0.9999999999979637,1.0272422606238834e-12
54,1701393600000,38895.8,0.0009002451846862979,BEAR,True,0.9999974876813073,0.9999682263398724,0.0,0.0,flat,OK,0.010808948182204826,0.42411146466021304,1.006836148811045e-12,0.9999974876813073,2.5123176859100303e-06
