agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1861258,68918.2,0.005,2717782,2717782,1774575408562,false
1861259,68918.8,0.005,2717783,2717783,1774575408562,false
1861260,68903.3,0.01,2717784,2717784,1774575428050,true
1861261,68903.2,0.007,2717785,2717785,1774575428050,true
1861262,68906.8,0.009,2717786,2717786,1774575447716,true
1861263,68909.2,0.029,2717787,2717787,1774575469622,false
1861264,68900.8,0.011,2717788,2717788,1774575472746,true
1861265,68919.1,0.001,2717789,2717789,1774575552218,false
1861266,68919.9,0.001,2717790,2717790,1774575552218,false
1861267,68920.4,0.001,2717791,2717791,1774575552218,false
1861268,68920.8,0.01,2717792,2717792,1774575552218,false
1861269,68920.9,0.07,2717793,2717793,1774575552218,false
1861270,68926.0,0.001,2717794,2717794,1774575552218,false
1861271,68928.7,0.032,2717795,2717795,1774575552218,false
1861272,68928.8,0.076,2717796,2717796,1774575552218,false
1861273,68893.5,0.001,2717797,2717797,1774575600509,true
1861274,68904.2,0.006,2717798,2717798,1774575660547,true
1861275,68879.7,0.001,2717799,2717799,1774575720494,true
1861276,68920.3,0.011,2717800,2717800,1774575849740,false
1861277,68920.8,0.011,2717801,2717801,1774575849740,false
1861278,68920.9,0.008,2717802,2717802,1774575849740,false
1861279,68937.1,0.005,2717803,2717803,1774575929207,false
1861280,68937.2,0.005,2717804,2717804,1774575929207,false
1861281,68928.0,0.001,2717805,2717805,1774575939142,true
1861282,68921.8,0.005,2717806,2717806,1774575964091,true
1861283,68921.5,0.04,2717807,2717808,1774575964091,true
1861284,68921.4,0.005,2717809,2717809,1774575964091,true
1861285,68900.4,0.001,2717810,2717810,1774576002070,true
1861286,68903.7,0.01,2717811,2717811,1774576019651,true
1861287,68903.6,0.06,2717812,2717812,1774576019651,true
1861288,68915.7,0.006,2717813,2717813,1774576020483,true
1861289,68935.6,0.01,2717814,2717814,1774576112381,true
1861290,68935.5,0.042,2717815,2717815,1774576112381,true
1861291,68937.7,0.005,2717816,2717816,1774576125666,false
1861292,68968.5,0.022,2717817,2717820,1774576140525,true
1861293,68975.5,0.001,2717821,2717821,1774576148409,false
1861294,68985.4,0.005,2717822,2717823,1774576200541,true
1861295,68970.1,0.014,2717824,2717824,1774576202156,true
1861296,68970.0,0.005,2717825,2717825,1774576202156,true
1861297,68969.9,0.217,2717826,2717826,1774576202169,true
1861298,68962.9,0.021,2717827,2717827,1774576202173,true
1861299,68958.9,0.428,2717828,2717828,1774576217627,false
1861300,68958.9,0.147,2717829,2717829,1774576219557,false
1861301,68988.3,0.07,2717830,2717830,1774576246154,true
1861302,68986.8,0.011,2717831,2717831,1774576246154,true
