timestamp,percentage,depth,notional
2026-03-27 00:07:32,1.00,60.04000000,4151365.16080000
2026-03-27 00:07:32,2.00,70.03700000,4850500.29280000
2026-03-27 00:07:32,3.00,76.55700000,5311323.54280000
2026-03-27 00:07:32,4.00,80.36200000,5582013.13800000
2026-03-27 00:07:32,5.00,80.92700000,5622732.78290000
2026-03-27 00:08:02,-5.00,88.32300000,6024564.37940000
2026-03-27 00:08:02,-4.00,87.68900000,5982922.20700000
2026-03-27 00:08:02,-3.00,82.70700000,5651069.71600000
2026-03-27 00:08:02,-2.00,70.03200000,4798606.15270000
2026-03-27 00:08:02,-1.00,61.07800000,4191266.79520000
2026-03-27 00:08:02,-0.20,7.61600000,523966.56210000
2026-03-27 00:08:02,0.20,7.12500000,491455.25700000
2026-03-27 00:08:02,1.00,59.94800000,4144907.26840000
2026-03-27 00:08:02,2.00,69.71700000,4828097.22850000
2026-03-27 00:08:02,3.00,75.78600000,5257012.78930000
2026-03-27 00:08:02,4.00,80.26500000,5575531.91830000
2026-03-27 00:08:02,5.00,80.83000000,5616251.56320000
2026-03-27 00:08:33,-5.00,69.16800000,4710331.92920000
2026-03-27 00:08:33,-4.00,68.53400000,4668689.75680000
2026-03-27 00:08:33,-3.00,61.94800000,4229651.26260000
2026-03-27 00:08:33,-2.00,50.87700000,3484373.70250000
2026-03-27 00:08:33,-1.00,41.91900000,2876758.10520000
2026-03-27 00:08:33,-0.20,6.13400000,422106.49340000
2026-03-27 00:08:33,0.20,7.01400000,483830.05840000
2026-03-27 00:08:33,1.00,40.23600000,2781937.67590000
2026-03-27 00:08:33,2.00,50.23100000,3481009.08540000
2026-03-27 00:08:33,3.00,58.09700000,4037596.95570000
2026-03-27 00:08:33,4.00,60.55300000,4212562.32580000
2026-03-27 00:08:33,5.00,61.11800000,4253281.97070000
2026-03-27 00:09:01,-5.00,88.91900000,6068727.26180000
2026-03-27 00:09:01,-4.00,88.28100000,6026763.30120000
2026-03-27 00:09:01,-3.00,83.22300000,5689791.26340000
2026-03-27 00:09:01,-2.00,70.67100000,4845362.70350000
2026-03-27 00:09:01,-1.00,61.62300000,4231599.47580000
2026-03-27 00:09:01,-0.20,6.12000000,421498.80980000
2026-03-27 00:09:01,0.20,8.13400000,561584.76400000
2026-03-27 00:09:01,1.00,56.05000000,3878005.80790000
