bar_idx,ts_ms,close,action,confidence,state,regime,ofi_z,hawkes,prob_above,prob_below
138,1701400320000,39121.4,HOLD,0.0,NORMAL,RANGING,-0.1764,0.5,0.5,0.5
139,1701400380000,39121.3,HOLD,0.0,NORMAL,RANGING,-0.2305,0.2,0.5,0.5
140,1701400500000,39107.6,HOLD,0.0,NORMAL,RANGING,-0.2683,0.4,0.5,0.5
141,1701400560000,39143.0,HOLD,0.0,NORMAL,RANGING,-0.2124,1.1,0.5,0.5
142,1701400620000,39156.9,HOLD,0.0,NORMAL,RANGING,2.7659,1.0,0.5,0.5
143,1701400680000,39173.0,HOLD,0.0,NORMAL,RANGING,2.269,0.5,0.5,0.5
144,1701400740000,39196.3,HOLD,0.0,NORMAL,RANGING,0.051,1.3,0.5,0.5
145,1701400800000,39224.4,HOLD,0.0,NORMAL,RANGING,-0.2517,0.7,0.5,0.5
146,1701400860000,39224.4,HOLD,0.0,NORMAL,RANGING,-0.2351,0.1,0.5,0.5
147,1701400920000,39208.5,HOLD,0.0,NORMAL,RANGING,-0.2845,0.7,0.5,0.5
148,1701400980000,39206.1,HOLD,0.0,NORMAL,RANGING,-0.2883,0.2,0.5,0.5
149,1701401040000,39192.5,HOLD,0.0,NORMAL,RANGING,-0.6423,0.5,0.5,0.5
150,1701401100000,39141.0,HOLD,0.0,NORMAL,RANGING,-0.3012,0.7,0.5,0.5
151,1701401160000,39143.9,HOLD,0.0,NORMAL,RANGING,-0.242,0.1,0.5,0.5
152,1701401220000,39142.4,HOLD,0.0,NORMAL,RANGING,-0.2833,0.3,0.5,0.5
153,1701401340000,39129.4,HOLD,0.0,NORMAL,RANGING,-0.311,0.3,0.5,0.5
154,1701401400000,39142.4,HOLD,0.0,NORMAL,RANGING,-0.1579,0.1,0.5,0.5
155,1701401460000,39136.7,HOLD,0.0,NORMAL,RANGING,-0.2857,0.4,0.5,0.5
156,1701401520000,39120.7,HOLD,0.0,NORMAL,RANGING,-0.2719,0.4,0.5,0.5
157,1701401580000,39121.0,HOLD,0.0,NORMAL,RANGING,-0.1796,0.7,0.5,0.5
158,1701401640000,39142.0,HOLD,0.0,NORMAL,RANGING,2.4311,0.3,0.5,0.5
159,1701401700000,39160.6,HOLD,0.0,NORMAL,RANGING,-0.2095,0.5,0.5,0.5
160,1701401760000,39168.0,HOLD,0.0,NORMAL,RANGING,-0.2468,0.1,0.5,0.5
161,1701401940000,39163.3,HOLD,0.0,NORMAL,RANGING,0.1205,0.2,0.5,0.5
162,1701402000000,39163.2,HOLD,0.0,NORMAL,RANGING,0.111,0.2,0.5,0.5
163,1701402060000,39192.5,HOLD,0.0,NORMAL,RANGING,2.6931,0.5,0.5,0.5
164,1701402120000,39188.7,HOLD,0.0,NORMAL,RANGING,-2.8704,0.2,0.5,0.5
165,1701402180000,39205.8,HOLD,0.0,NORMAL,RANGING,1.9912,0.1,0.5,0.5
