bar_idx,ts_ms,price,allow_trade,direction,confidence,alpha_dir,alpha_conf,alpha_pa,alpha_pb,smc_sig,smc_conf,market_state,substate,regime_type,regime_conf,spread_pct,imbalance,ofp,ofp_pressure,institutional_score,ai_score,confluence_score,ob_score,cascade_probability,fvg_exists,open_interest_missing,reason,violations
389,1701417660000,39457.9,False,LONG,0.14,NEUTRAL,0.30398,0.5,0.5,NONE,3.0,CHOPPY,CHOPPY,range,0.5801,3e-06,0.74026,0.572048,0.572048,1.4,1.0,2.0992,0.6452,0.0,False,True,open_interest_missing,
390,1701417720000,39458.2,False,LONG,0.12,NEUTRAL,0.310286,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5801,0.000537,0.0,0.65,0.65,1.2,1.0,2.6833,0.7484,0.0,False,True,open_interest_missing,
391,1701417780000,39470.1,False,LONG,0.18,NEUTRAL,0.3147,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,range,0.5801,0.000263,0.5,-0.150044,-0.150044,1.8,1.0,4.2211,0.5721,0.0,False,True,open_interest_missing,
392,1701417840000,39479.6,False,LONG,0.12,NEUTRAL,0.31779,0.5,0.5,NONE,4.0,RANGING,RANGING,range,0.5801,0.00041,0.0,0.65,0.65,1.2,1.0,3.7882,0.7323,0.0,False,True,open_interest_missing,
393,1701417900000,39513.6,False,LONG,0.53,NEUTRAL,0.300453,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,range,0.5801,0.000132,-0.96875,0.305194,0.305194,5.3,1.0,5.1283,0.8034,0.0,True,True,open_interest_missing,
394,1701417960000,39528.0,False,HOLD,0.05,NEUTRAL,0.307817,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,range,0.5801,0.000648,0.0,-0.308834,-0.308834,0.5,0.0,4.2169,0.6252,0.0,True,True,open_interest_missing,
395,1701418020000,39493.3,False,HOLD,0.07,NEUTRAL,0.312972,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5801,0.000602,0.789474,0.298898,0.298898,0.7,0.0,2.5443,0.6036,0.0,True,True,open_interest_missing,
396,1701418080000,39500.7,False,HOLD,0.0,NEUTRAL,0.31658,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5801,0.000309,0.0,0.000101,0.000101,0.0,0.0,2.2366,0.6093,0.0,True,True,open_interest_missing,
397,1701418140000,39467.6,False,SHORT,0.23,NEUTRAL,0.319106,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5801,0.000448,0.809524,-0.366667,-0.366667,2.3,-1.0,3.0864,0.7351,0.0,True,True,open_interest_missing,
398,1701418200000,39500.0,False,HOLD,0.07,NEUTRAL,0.320874,0.5,0.5,NONE,3.0,CHOPPY,CHOPPY,range,0.5801,0.000451,0.636364,0.612754,0.612754,0.7,0.0,2.3753,0.7728,0.0,True,True,open_interest_missing,
399,1701418260000,39500.8,False,HOLD,0.07,NEUTRAL,0.322112,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5801,0.000332,-0.733333,-0.906667,-0.906667,0.7,0.0,3.0669,0.777,0.0,True,True,open_interest_missing,
400,1701418320000,39521.7,False,HOLD,0.16,NEUTRAL,0.322978,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,range,0.5801,0.00025,-0.866667,0.253796,0.253796,1.6,0.0,4.1784,0.8218,0.0,True,True,open_interest_missing,
401,1701418440000,39511.3,False,HOLD,0.07,NEUTRAL,0.323585,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5801,0.000245,-0.166667,-0.708333,-0.708333,0.7,0.0,3.9849,0.7761,0.0,True,True,open_interest_missing,
402,1701418500000,39540.0,False,HOLD,0.0,NEUTRAL,0.5,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,run_all_engines_error,
403,1701418560000,39540.0,False,HOLD,0.0,NEUTRAL,0.5,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,run_all_engines_error,
404,1701418620000,39577.6,False,LONG,0.53,NEUTRAL,0.305015,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,range,0.5911,0.000384,-0.974522,0.30642,0.30642,5.3,1.0,3.9845,0.7083,0.0,False,True,open_interest_missing,
405,1701418680000,39564.8,False,HOLD,0.07,NEUTRAL,0.31101,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5911,0.000599,-0.882353,-0.178824,-0.178824,0.7,0.0,2.6435,0.5208,0.0,False,True,open_interest_missing,
406,1701418740000,39598.3,False,HOLD,0.0,NEUTRAL,0.5,0.5,0.5,NONE,0.0,CHOPPY,CHOPPY,range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,run_all_engines_error,
407,1701418800000,39540.0,False,HOLD,0.07,NEUTRAL,0.318145,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5911,0.000356,-0.870968,-0.896082,-0.896082,0.7,0.0,2.6343,0.6511,0.0,False,True,open_interest_missing,
408,1701418860000,39530.0,False,HOLD,0.07,NEUTRAL,0.300702,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5911,0.0004,-0.985401,-0.984655,-0.984655,0.7,0.0,2.9099,0.6708,0.0,False,True,open_interest_missing,
409,1701418920000,39500.5,False,SHORT,0.07,NEUTRAL,0.307991,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5911,0.000213,-0.75,-0.901931,-0.901931,0.7,-1.0,2.9246,0.6712,0.0,False,True,open_interest_missing,
410,1701418980000,39488.0,False,HOLD,0.07,NEUTRAL,0.293594,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5911,0.000362,-0.980198,-0.704746,-0.704746,0.7,0.0,2.2973,0.57,0.0,False,True,open_interest_missing,
411,1701419040000,39468.0,False,SHORT,0.11,NEUTRAL,0.303016,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,range,0.5911,0.000114,0.5,-0.361948,-0.361948,1.1,-1.0,3.8315,0.6399,0.0,False,True,open_interest_missing,
412,1701419100000,39466.8,False,HOLD,0.07,NEUTRAL,0.290111,0.5,0.5,NONE,3.0,CHOPPY,CHOPPY,range,0.5911,0.000177,0.995754,0.348513,0.348513,0.7,0.0,2.5819,0.5149,0.0,True,True,open_interest_missing,
413,1701419160000,39493.2,False,HOLD,0.16,NEUTRAL,0.281078,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5911,6.3e-05,0.985216,-0.09427,-0.09427,1.6,0.0,3.854,0.6315,0.0,True,True,open_interest_missing,
414,1701419280000,39474.7,False,HOLD,0.16,NEUTRAL,0.274755,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,range,0.5911,0.000436,-0.969231,-0.122436,-0.122436,1.6,0.0,3.2734,0.6536,0.0,True,True,open_interest_missing,
415,1701419340000,39460.0,False,SHORT,0.07,NEUTRAL,0.289828,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,range,0.5911,6.1e-05,-0.2,-0.72,-0.72,0.7,-1.0,4.7983,0.7149,0.0,True,True,open_interest_missing,
416,1701419400000,39450.1,False,SHORT,0.23,NEUTRAL,0.28088,0.5,0.5,NONE,5.0,RANGING,RANGING,range,0.5616,0.000231,0.771479,-0.36676,-0.36676,2.3,-1.0,4.2444,0.7496,0.0,True,True,open_interest_missing,
417,1701419460000,39450.0,False,HOLD,0.07,NEUTRAL,0.274616,0.5,0.5,NONE,5.0,RANGING,RANGING,range,0.5616,3e-06,0.542435,0.833117,0.833117,0.7,0.0,4.0789,0.8264,0.0,True,True,open_interest_missing,
418,1701419520000,39450.8,False,HOLD,0.07,NEUTRAL,0.270231,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,range,0.5616,0.00016,0.865772,0.95302,0.95302,0.7,0.0,4.2128,0.8272,0.0,True,True,open_interest_missing,
419,1701419580000,39436.8,False,SHORT,0.41,NEUTRAL,0.267162,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,range,0.5616,0.000104,0.766949,-0.381568,-0.381568,4.1,-1.0,4.2589,0.7363,0.0,True,True,open_interest_missing,
420,1701419640000,39436.6,False,SHORT,0.07,NEUTRAL,0.265013,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5616,3e-06,-0.984615,-0.439934,-0.439934,0.7,-1.0,3.6363,0.5484,0.0,True,True,open_interest_missing,
421,1701419700000,39426.7,False,SHORT,0.07,NEUTRAL,0.263509,0.5,0.5,NONE,6.0,COMPRESSION,COMPRESSION,range,0.5616,0.000254,-0.882353,-0.958824,-0.958824,0.7,-1.0,5.1331,0.7633,0.0,True,True,open_interest_missing,
422,1701419760000,39436.8,False,HOLD,0.0,NEUTRAL,0.281957,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5616,0.000261,0.0,0.191197,0.191197,0.0,0.0,2.7655,0.6965,0.0,True,True,open_interest_missing,
423,1701419820000,39447.1,False,HOLD,0.07,NEUTRAL,0.27537,0.5,0.5,NONE,5.0,COMPRESSION,COMPRESSION,range,0.5616,0.000598,-0.623188,-0.738061,-0.738061,0.7,0.0,4.8139,0.7358,0.0,True,True,open_interest_missing,
424,1701419880000,39449.3,False,HOLD,0.07,NEUTRAL,0.270759,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5616,0.000598,-0.826087,-0.639056,-0.639056,0.7,0.0,2.2346,0.6799,0.0,True,True,open_interest_missing,
425,1701420000000,39432.0,False,HOLD,0.07,NEUTRAL,0.287031,0.5,0.5,NONE,3.0,COMPRESSION,COMPRESSION,range,0.5616,0.000314,0.714286,0.250063,0.250063,0.7,0.0,2.4139,0.5278,0.0,False,True,open_interest_missing,
426,1701420060000,39456.6,False,LONG,0.14,NEUTRAL,0.278922,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5616,0.0002,0.754717,0.88707,0.88707,1.4,1.0,2.7804,0.7257,0.0,False,True,open_interest_missing,
427,1701420120000,39464.0,False,LONG,0.14,NEUTRAL,0.273245,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5616,0.000142,0.783944,0.816865,0.816865,1.4,1.0,2.5882,0.7118,0.0,False,True,open_interest_missing,
428,1701420180000,39470.3,False,LONG,0.14,NEUTRAL,0.288772,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5616,0.000195,0.2,0.72,0.72,1.4,1.0,2.6291,0.7449,0.0,False,True,open_interest_missing,
429,1701420240000,39485.7,False,LONG,0.05,NEUTRAL,0.29964,0.5,0.5,NONE,4.0,COMPRESSION,COMPRESSION,range,0.5616,0.000324,0.0,-0.65,-0.65,0.5,1.0,2.5688,0.641,0.0,False,True,open_interest_missing,
430,1701420300000,39511.4,False,LONG,0.14,NEUTRAL,0.287748,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000109,0.991389,0.845892,0.845892,1.4,1.0,3.8907,0.8239,0.0,True,True,open_interest_missing,
431,1701420420000,39530.0,False,LONG,0.12,NEUTRAL,0.298924,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,4.3e-05,0.0,-0.246434,-0.246434,1.2,1.0,3.6109,0.6432,0.0,True,True,open_interest_missing,
432,1701420480000,39500.8,False,HOLD,0.16,NEUTRAL,0.287247,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,manipulation,0.9183,0.00044,0.990654,-0.133695,-0.133695,1.6,0.0,4.0371,0.7489,0.0,True,True,open_interest_missing,
433,1701420600000,39506.3,False,LONG,0.28,NEUTRAL,0.279073,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000185,0.985935,-0.302327,-0.302327,2.8,1.0,4.1789,0.7277,0.0,True,True,open_interest_missing,
434,1701420660000,39524.5,False,HOLD,0.0,NEUTRAL,0.292851,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000278,0.0,-0.059952,-0.059952,0.0,0.0,3.5734,0.5068,0.0,True,True,open_interest_missing,
435,1701420720000,39521.6,False,HOLD,0.11,NEUTRAL,0.302496,0.5,0.5,NONE,5.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000127,0.2,-0.557578,-0.557578,1.1,0.0,4.0292,0.7041,0.0,True,True,open_interest_missing,
436,1701420780000,39493.3,False,SHORT,0.18,NEUTRAL,0.309247,0.5,0.5,NONE,4.0,CHOPPY,CHOPPY,manipulation,0.9183,0.000165,0.2,-0.58,-0.58,1.8,-1.0,3.0378,0.7023,0.0,True,True,open_interest_missing,
